"Format","MoTeC CSV File",,,"Workbook",""
"Venue","mugello",,,"Worksheet",""
"Vehicle","rss_formula_hybrid_2022",,,"Vehicle Desc",""
"Driver","DSCLECCE",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Soft (C3)",,,"Session","PRACTICE"
"Log Date","04/02/2026",,,"Origin Time","0.000","s"
"Log Time","17:42:00",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","371.450","s"
"Duration","371.450","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","21033","m"
"Beacon Markers","00.000 90.536 177.343 263.009 348.923 "


"Time","Distance","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0","0.0000","1","1","0","1","0","1","0","0","0","1","1.15302","24","0","0.000","0.00","52.999990000","0.00","24.00","24.00","24.03","24.03","-0.094","0.1164","0.222","233.00","-2.96","-3.079","-1.77","-1.732","56.5","24.44","0.533","0","0","0","0","0.0003","-7.0003400","-7.0003400","0.844","1.386","0.410","2.26","78.98","-0.050","0.1987","0.09","100.00","0.0000","1.0000","217.78","1","0.0000","4","3","5","6","0","9941","0","49.609","8.000","284.31","0.0000","0","100.00","0.2","55.687","0","0.0000","0","0.01","0.01","0.00","0.000","0.0000","148","747.89740","13050","150.000000000","150.000000000","150.000000000","150.000000000","233.08146","1.6000","0.0000","1","1","20.00","2.78","2.78","21.00","21.00","32","-51.3","37.9","-126.5","109.8","0.0000","-178.21","0.00","100","18.668","17.799","28.720","28.508","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6397","6139","8389","8735","339.204","340.412","338.694","337.903","21.7158","21.9583","20.8848","20.9921","362.5000","362.5000","362.5000","362.5000","99.9939","99.9885","99.9848","99.9825","0.107","-0.190","-0.200","0.110","-0.038","-0.038","1.197","1.202","68.820","71.126","71.960","73.014","59.41","64.45","77.30","79.30","56.48","61.28","74.41","76.58","54.76","59.41","72.94","75.28","-0.129","-0.128","0.15753","0.15801","1.6000","215.12","215.11","217.75","217.75","-350","3"
"0.050","4","0.0000","1","1","0","1","0","1","0","0","0","1","1.15301","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","-0.064","0.0673","-0.217","236.01","-3.00","-3.014","-1.74","-1.707","60.8","24.38","0.587","0","0","0","0","0.0011","-7.0003460","-7.0003460","0.756","-2.546","0.501","1.91","79.03","-0.016","0.0520","0.16","100.00","0.0000","1.0000","218.07","1","0.0000","4","3","5","6","0","9954","0","49.607","8.000","284.52","1.0000","0","99.94","3.6","55.478","0","0.0000","0","0.06","0.06","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","111.11","3.34","3.34","26.00","26.00","32","-55.9","44.2","-81.5","76.6","0.0000","-178.26","0.41","100","17.361","17.059","28.191","28.216","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6506","6586","6778","6949","339.342","339.336","343.059","342.715","21.7178","21.9602","20.8880","20.9953","362.5000","362.5000","362.5000","362.5000","99.9939","99.9885","99.9848","99.9825","0.091","-0.171","-0.178","0.135","-0.046","-0.045","1.286","1.290","68.839","71.144","71.992","73.046","59.46","64.46","77.36","79.33","56.53","61.29","74.47","76.60","54.80","59.42","73.00","75.30","-0.101","-0.151","0.15736","0.15752","1.6000","215.17","215.16","217.94","217.94","-350","3"
"0.100","8","0.0000","1","1","0","1","0","1","0","0","0","1","1.15301","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","-0.061","0.1237","0.046","234.15","-3.01","-3.081","-1.73","-1.694","64.6","24.33","0.632","0","0","0","0","0.0018","-7.0003460","-7.0003460","0.844","3.870","0.530","0.58","79.08","-0.013","0.2442","0.51","100.00","0.0000","1.0000","218.17","1","0.0000","4","3","5","6","0","9958","0","49.606","8.000","284.69","0.0000","0","99.90","6.6","55.313","0","0.0000","0","0.11","0.11","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","166.67","3.17","3.17","22.94","22.94","32","-53.0","42.5","-119.0","110.0","0.0000","-178.31","0.41","100","17.898","17.533","27.076","27.243","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6457","6301","8419","8561","339.270","340.074","338.929","338.620","21.7197","21.9621","20.8905","20.9979","362.5000","362.5000","362.5000","362.5000","99.9939","99.9885","99.9847","99.9824","0.107","-0.171","-0.179","0.135","-0.042","-0.040","1.226","1.244","68.858","71.162","72.017","73.072","59.53","64.50","77.37","79.33","56.59","61.32","74.48","76.60","54.87","59.44","73.01","75.29","-0.094","-0.160","0.15702","0.15749","1.6000","215.47","215.44","218.19","218.19","-350","3"
"0.150","12","0.0000","1","1","0","1","0","1","0","0","0","1","1.15300","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","-0.051","0.1088","0.143","233.59","-2.99","-3.028","-1.82","-1.786","68.8","24.27","0.683","0","0","0","0","0.0026","-7.0003460","-7.0003460","0.867","-2.704","0.565","0.25","79.14","-0.019","0.1806","0.41","100.00","0.0000","1.0000","218.12","1","0.0000","4","3","5","6","0","9956","0","49.604","8.000","284.91","1.0000","0","99.85","9.9","55.092","0","0.0000","0","0.16","0.16","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","166.67","4.58","4.58","20.57","20.57","32","-47.0","41.0","-126.1","112.2","0.0000","-178.37","0.09","100","17.201","17.073","29.255","29.163","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6232","6124","8486","8459","340.215","340.779","338.408","338.509","21.7216","21.9639","20.8938","21.0012","362.5000","362.5000","362.5000","362.5000","99.9939","99.9884","99.9847","99.9823","0.122","-0.159","-0.181","0.133","-0.034","-0.034","1.192","1.207","68.876","71.179","72.050","73.104","59.59","64.51","77.45","79.39","56.64","61.32","74.56","76.65","54.91","59.45","73.09","75.34","-0.112","-0.139","0.15780","0.15817","1.6000","215.50","215.47","218.10","218.10","-350","3"
"0.200","16","0.0000","1","1","0","1","0","1","0","0","0","1","1.15299","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","-0.021","0.0927","-0.311","237.60","-2.92","-3.062","-1.72","-1.705","72.7","24.21","0.733","0","0","0","0","0.0034","-7.0003460","-7.0003460","0.751","-0.679","0.599","1.75","79.19","-0.015","0.0861","-0.02","100.00","0.0000","1.0000","218.53","1","0.0000","4","3","5","6","0","9975","0","49.602","8.000","285.07","0.0000","0","99.80","13.1","54.924","0","0.0000","0","0.21","0.21","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","111.11","6.14","6.14","26.38","26.38","32","-40.4","38.1","-86.4","81.2","0.0000","-178.41","-0.23","100","17.074","16.497","27.241","27.382","0","0","100.00","0.0000","0.0000","0.0000","0.0000","5978","5610","7100","7147","340.927","342.478","342.376","342.346","21.7235","21.9657","20.8966","21.0040","362.5000","362.5000","362.5000","362.5000","99.9939","99.9884","99.9846","99.9823","0.137","-0.139","-0.173","0.142","-0.042","-0.043","1.302","1.301","68.894","71.196","72.077","73.132","59.64","64.51","77.47","79.38","56.69","61.32","74.58","76.64","54.95","59.44","73.10","75.33","-0.141","-0.109","0.15707","0.15728","1.6000","215.62","215.61","218.47","218.47","-350","3"
"0.250","20","0.0000","1","1","0","1","0","1","0","0","0","1","1.15299","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","0.015","0.0976","-0.078","236.21","-2.89","-3.011","-1.74","-1.708","76.6","24.16","0.776","0","0","0","0","0.0042","-7.0003460","-7.0003460","0.750","0.528","0.705","2.84","79.24","0.007","0.2200","-0.37","100.00","0.0000","1.0000","218.61","1","0.0000","4","3","5","6","0","9979","0","49.601","8.000","285.26","1.0000","0","99.76","16.2","54.738","0","0.0000","0","0.26","0.26","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","111.11","3.99","3.99","25.71","25.71","32","-43.6","47.8","-90.4","99.1","0.0000","-178.46","-0.23","100","17.122","16.698","26.411","26.876","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6422","6357","7438","7801","339.343","340.012","341.379","340.656","21.7252","21.9673","20.8993","21.0068","362.5000","362.5000","362.5000","362.5000","99.9939","99.9884","99.9845","99.9822","0.147","-0.131","-0.149","0.160","-0.047","-0.046","1.270","1.258","68.910","71.212","72.104","73.159","59.68","64.49","77.48","79.37","56.73","61.30","74.58","76.63","54.98","59.42","73.11","75.31","-0.146","-0.105","0.15692","0.15689","1.6000","215.78","215.81","218.59","218.59","-350","3"
"0.300","24","0.0000","1","1","0","1","0","1","0","0","0","1","1.15298","24","0","0.000","0.00","52.999997000","0.00","24.00","24.00","24.03","24.03","0.019","0.1225","0.330","233.60","-2.94","-3.136","-1.73","-1.656","80.5","24.10","0.816","0","0","0","0","0.0049","-7.0003460","-7.0003460","0.773","-1.442","0.724","1.75","79.29","0.020","0.2390","-0.07","100.00","0.0000","1.0000","218.50","1","0.0000","4","3","5","6","0","9974","0","49.599","8.000","285.46","0.0000","0","99.71","19.2","54.541","0","0.0000","0","0.31","0.31","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","166.67","4.40","4.40","20.21","20.21","32","-46.9","43.7","-120.1","122.8","0.0000","-178.51","0.36","100","17.299","16.934","28.564","28.608","0","0","100.00","0.0000","0.0000","0.0000","0.0000","6402","6063","8778","8756","339.531","341.045","337.298","337.645","21.7269","21.9691","20.9022","21.0098","362.5000","362.5000","362.5000","362.5000","99.9939","99.9884","99.9845","99.9821","0.131","-0.150","-0.140","0.167","-0.033","-0.030","1.175","1.171","68.926","71.228","72.132","73.188","59.73","64.48","77.53","79.41","56.77","61.29","74.64","76.66","55.02","59.41","73.16","75.34","-0.109","-0.143","0.15811","0.15766","1.6000","215.92","215.93","218.53","218.53","-350","3"
