"Format","MoTeC CSV File",,,"Workbook",""
"Venue","mugello",,,"Worksheet",""
"Vehicle","rss_formula_hybrid_2022",,,"Vehicle Desc",""
"Driver","DSCLECCE",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Soft (C3)",,,"Session","PRACTICE"
"Log Date","04/02/2026",,,"Origin Time","0.000","s"
"Log Time","18:27:00",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","200.250","s"
"Duration","200.250","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11502","m"
"Beacon Markers","00.000 85.505 169.803 "


"Time","Distance","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0","0.0000","1","1","0","1","0","1","0","0","0","1","1.15302","24","0","0.0000","0.00","52.999990000","0.00","55.05","55.54","48.08","48.18","-0.282","0.068","0.3579","230.15","-3.10","-3.33","-1.64","-1.877","56.4","26.47","0.540","0","0","0","0","0.0003","-7.0003400","-7.0003400","0.831","2.273","0.075","0.29","81.05","-0.136","0.1602","1.77","100","0.0000","1.0000","223.37","1","0.0000","4","3","5","6","0","11689","0","29.3840","7.000","291.78","0.0000","0","100.00","0.2","48.213","0","0.0000","0","0.00","0.00","0.00","0.000","0.0000","148","747.89740","13050","150.000000000","150.000000000","150.000000000","150.000000000","233.08146","1.6000","0.0000","1","1","20.00","-1.74","-1.74","19.75","19.75","32","-88.0","32.6","-168.5","89.0","0.0000","-82.85","1.08","100","19.961","18.851","30.149","28.556","0","0","100.00","0.0000","0.0000000","0.0000","0","7252","6659","9178","8499","335.141","337.672","336.659","338.682","20.8320","21.2193","21.0234","21.2331","362.5000","362.5000","362.5000","362.5000","99.9904","99.9746","99.9466","99.9408","0.01","-0.29","-0.29","0.02","-0.04","-0.04","1.13","1.19","71.442","75.245","85.160","87.290","66.33","77.04","93.40","97.28","62.40","72.482","89.52","93.61","60.29","70.127","87.64","91.94","-0.044","-0.219","0.15730","0.15868","1.6000","220.78","220.65","223.35","223.35","-350","3"
"0.050","4","0.0000","1","1","0","1","0","1","0","0","0","1","1.15301","24","0","0.0000","0.00","52.999997000","0.00","54.97","55.46","48.03","48.13","-0.236","0.031","-0.0373","232.76","-3.12","-3.36","-1.71","-1.850","60.6","26.48","0.595","0","0","0","0","0.0011","-7.0003460","-7.0003460","0.790","-3.331","0.149","0.32","81.09","-0.115","0.0345","1.34","100","0.0000","1.0000","223.45","1","0.0000","4","3","5","6","0","11693","0","29.3819","7.000","291.91","1.0000","0","99.96","3.0","48.088","0","0.0000","0","0.05","0.05","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","166.66","0.28","0.28","22.73","22.73","32","-88.1","36.9","-117.7","73.0","0.0000","-82.91","0.95","100","18.711","17.618","30.277","29.245","0","0","100.00","0.0000","0.0000000","0.0000","0","7279","6512","7583","7380","335.646","338.712","340.716","341.405","20.8343","21.2216","21.0267","21.2365","362.5000","362.5000","362.5000","362.5000","99.9903","99.9746","99.9465","99.9407","0.01","-0.26","-0.26","0.04","-0.04","-0.04","1.18","1.22","71.465","75.267","85.194","87.324","66.34","76.99","93.31","97.12","62.40","72.430","89.43","93.45","60.29","70.072","87.55","91.79","-0.054","-0.203","0.15740","0.15875","1.6000","220.74","220.64","223.37","223.37","-350","3"
"0.100","8","0.0000","1","1","0","1","0","1","0","0","0","1","1.15301","24","0","0.0000","0.00","52.999997000","0.00","54.89","55.38","47.98","48.08","-0.213","0.072","-0.0048","232.58","-3.15","-3.35","-1.69","-1.757","64.7","26.49","0.648","0","0","0","0","0.0019","-7.0003460","-7.0003460","0.839","3.301","0.206","0.22","81.11","-0.106","0.1789","1.39","100","0.0000","1.0000","223.62","1","0.0000","4","3","5","6","0","11702","0","29.3799","7.000","291.99","0.0000","0","99.92","5.8","48.008","0","0.0000","0","0.11","0.11","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","166.66","0.73","0.73","22.20","22.20","32","-76.3","38.2","-148.6","86.5","0.0000","-82.96","0.90","100","18.821","18.092","28.599","27.454","0","0","100.00","0.0000","0.0000000","0.0000","0","6786","6491","8760","8257","337.171","338.666","337.984","339.585","20.8368","21.2241","21.0295","21.2393","362.5000","362.5000","362.5000","362.5000","99.9903","99.9745","99.9464","99.9406","0.03","-0.25","-0.26","0.05","-0.04","-0.04","1.18","1.23","71.490","75.293","85.223","87.353","66.37","76.96","93.15","96.89","62.43","72.398","89.28","93.24","60.32","70.037","87.41","91.57","-0.058","-0.200","0.15701","0.15801","1.6000","220.96","220.84","223.65","223.65","-350","3"
"0.150","12","0.0000","1","1","0","1","0","1","0","0","0","1","1.15300","24","0","0.0000","0.00","52.999997000","0.00","54.79","55.28","47.93","48.02","-0.195","0.052","-0.0355","233.02","-3.14","-3.31","-1.67","-1.703","69.7","26.49","0.711","0","0","0","0","0.0028","-7.0003460","-7.0003460","0.820","-2.973","0.212","-0.10","81.15","-0.093","0.1060","1.34","100","0.0000","1.0000","223.59","1","0.0000","4","3","5","6","0","11700","0","29.3775","7.000","292.14","1.0000","0","99.88","9.1","47.855","0","0.0000","0","0.17","0.17","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","66.66","2.03","2.03","21.69","21.69","32","-74.8","36.0","-132.0","83.2","0.0000","-83.02","0.99","100","18.060","17.288","29.824","28.726","0","0","100.00","0.0000","0.0000000","0.0000","0","6747","6337","8285","8012","337.494","339.372","339.057","340.004","20.8394","21.2268","21.0334","21.2431","362.5000","362.5000","362.5000","362.5000","99.9903","99.9745","99.9463","99.9406","0.03","-0.25","-0.25","0.07","-0.04","-0.04","1.17","1.22","71.515","75.319","85.263","87.392","66.36","76.89","93.04","96.70","62.42","72.324","89.18","93.05","60.31","69.961","87.31","91.39","-0.049","-0.205","0.15745","0.15836","1.6000","220.92","220.82","223.55","223.55","-350","3"
"0.200","16","0.0000","1","1","0","1","0","1","0","0","0","1","1.15299","24","0","0.0000","0.00","52.999997000","0.00","54.73","55.22","47.89","47.99","-0.203","0.052","-0.2346","234.84","-3.16","-3.26","-1.66","-1.858","73.0","26.48","0.753","0","0","0","0","0.0034","-7.0003460","-7.0003460","0.752","-0.250","0.228","0.00","81.17","-0.094","0.0826","1.45","100","0.0000","1.0000","223.81","1","0.0000","4","3","5","6","0","11712","0","29.3760","7.000","292.21","0.0000","0","99.85","11.2","47.793","0","0.0000","0","0.20","0.20","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","83.33","2.23","2.23","24.74","24.74","32","-71.9","35.6","-116.8","77.5","0.0000","-83.06","0.95","100","18.049","17.407","28.473","27.340","0","0","100.00","0.0000","0.0000000","0.0000","0","6553","6340","7735","7470","338.107","339.274","340.775","341.625","20.8411","21.2286","21.0355","21.2453","362.5000","362.5000","362.5000","362.5000","99.9903","99.9745","99.9463","99.9405","0.03","-0.25","-0.25","0.06","-0.04","-0.04","1.22","1.27","71.532","75.337","85.284","87.415","66.36","76.84","92.92","96.53","62.42","72.281","89.07","92.89","60.31","69.917","87.20","91.22","-0.049","-0.206","0.15694","0.15779","1.6000","221.02","220.91","223.78","223.78","-350","3"
"0.250","20","0.0000","1","1","0","1","0","1","0","0","0","1","1.15298","24","0","0.0000","0.00","52.999997000","0.00","54.64","55.13","47.84","47.94","-0.192","0.059","0.0962","233.19","-3.19","-3.40","-1.65","-1.864","77.2","26.47","0.801","0","0","0","0","0.0043","-7.0003460","-7.0003460","0.761","0.637","0.231","-1.17","81.20","-0.095","0.1713","1.14","100","0.0000","1.0000","223.81","1","0.0000","4","3","5","6","0","11712","0","29.3738","7.000","292.32","1.0000","0","99.81","14.1","47.680","0","0.0000","0","0.26","0.26","0.00","0.000","1.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","83.33","0.62","0.62","23.06","23.06","32","-78.4","38.5","-131.4","89.1","0.0000","-83.11","0.77","100","18.439","18.160","28.488","27.426","0","0","100.00","0.0000","0.0000000","0.0000","0","6992","6323","8358","7972","336.449","338.859","339.021","340.129","20.8434","21.2310","21.0386","21.2484","362.5000","362.5000","362.5000","362.5000","99.9903","99.9744","99.9462","99.9404","0.04","-0.25","-0.24","0.07","-0.05","-0.04","1.18","1.22","71.555","75.361","85.316","87.447","66.36","76.78","92.77","96.32","62.42","72.216","88.93","92.69","60.31","69.850","87.07","91.02","-0.067","-0.190","0.15693","0.15784","1.6000","221.12","221.03","223.80","223.80","-350","3"
"0.300","24","0.0000","1","1","0","1","0","1","0","0","0","1","1.15298","24","0","0.0000","0.00","52.999997000","0.00","54.56","55.05","47.79","47.89","-0.183","0.050","0.1535","231.73","-3.13","-3.69","-1.73","-1.949","81.2","26.45","0.846","0","0","0","0","0.0050","-7.0003460","-7.0003460","0.755","-1.540","0.298","0.79","81.23","-0.084","0.1278","0.99","100","0.0000","1.0000","223.81","1","0.0000","4","3","5","6","0","11712","0","29.3718","7.000","292.44","0.0000","0","99.78","16.9","47.563","0","0.0000","0","0.31","0.31","0.00","0.000","0.0000","148","747.89741","13050","150.000006000","150.000006000","150.000006000","150.000006000","233.08147","1.6000","0.0000","1","1","111.11","-0.59","-0.59","21.33","21.33","32","-88.3","47.9","-134.9","92.0","0.0000","-83.16","0.99","100","19.034","17.988","29.488","29.217","0","0","100.00","0.0000","0.0000000","0.0000","0","7422","6646","8404","7866","335.141","338.141","338.500","340.008","20.8458","21.2334","21.0418","21.2516","362.5000","362.5000","362.5000","362.5000","99.9903","99.9744","99.9462","99.9404","0.02","-0.25","-0.23","0.07","-0.04","-0.04","1.15","1.18","71.579","75.384","85.349","87.479","66.37","76.73","92.66","96.16","62.43","72.160","88.84","92.53","60.32","69.790","86.98","90.86","-0.056","-0.203","0.15727","0.15857","1.6000","221.17","221.09","223.76","223.76","-350","3"
